,Time,User,Tweet,Location,Retweets
0,2023-03-29 21:07:39+00:00,IGSD_DC,RT @DurwoodZaelke: Burning trees is not a climate solution.; biomass destroys carbon sinks and vital habitats. But #Biomass provides most o…,"Washington, DC; Global",1
1,2023-03-29 21:05:07+00:00,DurwoodZaelke,"Burning trees is not a climate solution.; biomass destroys carbon sinks and vital habitats. But #Biomass provides most of the energy counted as “renewable” in the EU. EU (and all governments) must not treat it as such. 
@TeamPFPI
https://t.co/H6qnrN1TXv","Washington, DC",1
2,2023-03-29 19:58:58+00:00,NYCSocialists,The #BuildPublicRenewables is a good step for NY. But it's a drop in the bucket to really address the climate crisis. All power generation and transmission in NY MUST be publicly owned as we shift to the lowest carbon generation energy possible statewide https://t.co/FCAGqx2hQW,"New York, NY",0
3,2023-03-29 19:34:32+00:00,ATrickledown,"@HouseGOP @SteveScalise It's time to invest much more in renewable energy. Away from fossil fuels. They've known for decades oil causes climate change.  1977: mankind is influencing the global climate is through carbon dioxide release from the burning of fossil fuels

https://t.co/8qpbeJUy9x",USA,0
4,2023-03-29 19:26:00+00:00,NHTractordriver,"@JoeWStanley Because this department, once seen as a dead end for career ladder climbers should be one of the most importance. Climate change mitigation, biodiversity change, flood alleviation, carbon sequestration, renewable energy and biofuels and food security all delivered by DEFRA",,0
5,2023-03-29 19:25:01+00:00,mau_shelar,RT @VivekGRamaswamy: The climate cult shackles the U.S. economy while leaving China untouched &amp; decries carbon emissions while shunning nuc…,,671
6,2023-03-29 19:24:53+00:00,mau_shelar,RT @VivekGRamaswamy: The global climate cult shackles the U.S. economy while leaving China untouched &amp; decries carbon emissions while shunn…,,824
7,2023-03-29 19:04:50+00:00,SLN74849293,"RT @sunlorrie: Finance Minister Chrystia Freedland's budget speech today doesn't mention, ""greenhouse gases"" ""emissions"" ""climate change"" o…",,133
8,2023-03-29 18:09:17+00:00,biswajitmohanty,"RT @GreenpeaceEAsia: New coal plants cement more than just denial.

Continued coal investment stomps out any space for renewable energy sys…","Cuttack, Odisha",1
9,2023-03-29 18:07:54+00:00,GreenpeaceEAsia,"New coal plants cement more than just denial.

Continued coal investment stomps out any space for renewable energy systems to grow and get critical investment. 

This trend is often called ""carbon lock-in.""

We need #ClimateActionNow! #EndCoal!

https://t.co/jHxX76cx8t",East Asia,1
10,2023-03-29 17:55:49+00:00,SomSchBusLeader,RT @EnergySparks: We have 1000 schools across the UK using Energy Sparks to cut their carbon emissions and increase energy literacy and cli…,"South West, England",9
11,2023-03-29 17:30:38+00:00,Nschotte,"One potential scenario could be that AI beings would develop and implement large-scale solutions to mitigate climate change, such as carbon capture technologies or renewable energy sources.","Rotterdam, The Netherlands",0
12,2023-03-29 17:17:14+00:00,EnergzdEconomy,"""Making such propellants involves capturing carbon from the air or industrial processes and mixing it with hydrogen made from renewable power. The result is a fuel that is neutral from a climate perspective"" ...except for all the energy to need to make it

https://t.co/ke2EXNZhBJ",,0
13,2023-03-29 17:05:02+00:00,trafal1357,"RT @sunlorrie: Finance Minister Chrystia Freedland's budget speech today doesn't mention, ""greenhouse gases"" ""emissions"" ""climate change"" o…",,133
14,2023-03-29 16:59:13+00:00,johnbwhaley,"RT @sunlorrie: Finance Minister Chrystia Freedland's budget speech today doesn't mention, ""greenhouse gases"" ""emissions"" ""climate change"" o…",,133
15,2023-03-29 16:53:43+00:00,winterpeggerx1,"RT @sunlorrie: Finance Minister Chrystia Freedland's budget speech today doesn't mention, ""greenhouse gases"" ""emissions"" ""climate change"" o…",,133
16,2023-03-29 16:00:31+00:00,jackrabbithost,"By becoming carbon neutral, we commit ourselves to improve air quality, supporting renewable energy projects, and helping tackle climate change - without increasing our customers' bills or passing on additional costs!",,0
17,2023-03-29 15:23:58+00:00,DarryllRevok,"@CNN ""Climate change via carbon emissions"" a predatory statistical fraud being used to hijack the production and distribution of energy. No less depraved and underhanded than the scam tactics used during the scamdemic. Same circle of usual suspects, same shit, different pile.",Cleveland,0
18,2023-03-29 15:14:39+00:00,makingH2green,"RT @climate: Chrystia Freeland plans to expand subsidies for carbon capture and hydrogen production in Canada's budget, with the Trudeau go…",,6
19,2023-03-29 14:54:25+00:00,Unpop_Science,"Chevron lobbied for Biden’s climate bill to classify dairy factory manure digesters as renewable energy in order to obtain tax exemptions for “low carbon fuel standard” (LCFS) credits from agricultural assets.

https://t.co/xPdxlaBI1C",occupied Turtle Island,1
20,2023-03-29 14:03:26+00:00,DurwoodZaelke,"RT @IGSD_DC: #Biomass is not “renewable energy”, nor a climate solution. To mitigate the climate crisis, we must protect our carbon sinks.…","Washington, DC",1
21,2023-03-29 13:58:45+00:00,SWY1,"RT @sunlorrie: Finance Minister Chrystia Freedland's budget speech today doesn't mention, ""greenhouse gases"" ""emissions"" ""climate change"" o…","Waterloo, Ontario",133
22,2023-03-29 13:16:48+00:00,staines_andyjoy,"RT @sunlorrie: Finance Minister Chrystia Freedland's budget speech today doesn't mention, ""greenhouse gases"" ""emissions"" ""climate change"" o…","Calgary, Alberta",133
23,2023-03-29 13:07:58+00:00,savetheworldpat,"RT @sunlorrie: Finance Minister Chrystia Freedland's budget speech today doesn't mention, ""greenhouse gases"" ""emissions"" ""climate change"" o…",canada,133
24,2023-03-29 13:00:43+00:00,WRIClimate,"The #IPCC23 affirms that fossil fuels must go. Retiring existing fossil fuel infrastructure, canceling new projects, upscaling carbon capture technologies &amp; incorporating more renewable energy sources are actions we must take now. https://t.co/gp5Ox4NkCl https://t.co/du9CiWlqEw",International,1
25,2023-03-29 12:58:55+00:00,MutchlerTrace,"RT @sunlorrie: Finance Minister Chrystia Freedland's budget speech today doesn't mention, ""greenhouse gases"" ""emissions"" ""climate change"" o…","Red Deer, Alberta",133
26,2023-03-29 12:49:13+00:00,seekeruvreason,"RT @sunlorrie: Finance Minister Chrystia Freedland's budget speech today doesn't mention, ""greenhouse gases"" ""emissions"" ""climate change"" o…",Greater Vancouver A,133
27,2023-03-29 12:37:44+00:00,FNancyleem,Climate emissions polls where does Canada stand at the bottom !! carbon tax is a government over reach  trudeau ✈️ causing his own carbon footprint ✈️ energy supply in 🇨🇦 remember it is the liberal party who stopped the energy sector yes unqualified trudeau https://t.co/p6EVUpizJx,"Ontario, Canada",0
28,2023-03-29 12:37:43+00:00,DougQuinney,"RT @sunlorrie: Finance Minister Chrystia Freedland's budget speech today doesn't mention, ""greenhouse gases"" ""emissions"" ""climate change"" o…",,133
29,2023-03-29 12:35:06+00:00,smheinrichs,"RT @sunlorrie: Finance Minister Chrystia Freedland's budget speech today doesn't mention, ""greenhouse gases"" ""emissions"" ""climate change"" o…","Saskatchewan, Canada",133
30,2023-03-29 12:24:26+00:00,TPMikeJ,"RT @sunlorrie: Finance Minister Chrystia Freedland's budget speech today doesn't mention, ""greenhouse gases"" ""emissions"" ""climate change"" o…","London, Ontario",133
31,2023-03-29 12:21:51+00:00,mama_mac48,"RT @sunlorrie: Finance Minister Chrystia Freedland's budget speech today doesn't mention, ""greenhouse gases"" ""emissions"" ""climate change"" o…","St. Catharines, Ontario",133
32,2023-03-29 12:10:20+00:00,TazAFvet,"RT @sunlorrie: Finance Minister Chrystia Freedland's budget speech today doesn't mention, ""greenhouse gases"" ""emissions"" ""climate change"" o…",Canada / USA ,133
33,2023-03-29 11:13:10+00:00,allysonpw,"RT @sunlorrie: Finance Minister Chrystia Freedland's budget speech today doesn't mention, ""greenhouse gases"" ""emissions"" ""climate change"" o…",Canada,133
34,2023-03-29 10:56:21+00:00,CelesteAsUsual,"RT @sunlorrie: Finance Minister Chrystia Freedland's budget speech today doesn't mention, ""greenhouse gases"" ""emissions"" ""climate change"" o…","Ontario, Canada",133
35,2023-03-29 10:47:07+00:00,Arcane_Requiem,"RT @sunlorrie: Finance Minister Chrystia Freedland's budget speech today doesn't mention, ""greenhouse gases"" ""emissions"" ""climate change"" o…",Canada,133
36,2023-03-29 10:27:57+00:00,rallymaster67,"RT @sunlorrie: Finance Minister Chrystia Freedland's budget speech today doesn't mention, ""greenhouse gases"" ""emissions"" ""climate change"" o…",,133
37,2023-03-29 10:18:44+00:00,horseneverlies,"RT @sunlorrie: Finance Minister Chrystia Freedland's budget speech today doesn't mention, ""greenhouse gases"" ""emissions"" ""climate change"" o…",Canada,133
38,2023-03-29 10:07:05+00:00,dagg_rick,"RT @sunlorrie: Finance Minister Chrystia Freedland's budget speech today doesn't mention, ""greenhouse gases"" ""emissions"" ""climate change"" o…",,133
39,2023-03-29 10:03:11+00:00,muddled_thinker,"RT @sunlorrie: Finance Minister Chrystia Freedland's budget speech today doesn't mention, ""greenhouse gases"" ""emissions"" ""climate change"" o…",On the stage,133
40,2023-03-29 09:56:41+00:00,dirtybaggage,"RT @sunlorrie: Finance Minister Chrystia Freedland's budget speech today doesn't mention, ""greenhouse gases"" ""emissions"" ""climate change"" o…",Cavan swamp,133
41,2023-03-29 09:51:15+00:00,AMCKunneke,"RT @sunlorrie: Finance Minister Chrystia Freedland's budget speech today doesn't mention, ""greenhouse gases"" ""emissions"" ""climate change"" o…",North of 50.🌎,133
42,2023-03-29 09:46:52+00:00,Gran737,"RT @sunlorrie: Finance Minister Chrystia Freedland's budget speech today doesn't mention, ""greenhouse gases"" ""emissions"" ""climate change"" o…",,133
43,2023-03-29 09:46:07+00:00,sunandshine,"RT @sunlorrie: Finance Minister Chrystia Freedland's budget speech today doesn't mention, ""greenhouse gases"" ""emissions"" ""climate change"" o…",Canada. 🇨🇦🍁,133
44,2023-03-29 09:44:48+00:00,KatSimpson18,"RT @YoiksAndAway: @ChrisGPackham @JonathanPieNews @ClimateSciBreak Time to act is now

No new fossil fuel licences
Cut emissions
Carbon Off…",,2
45,2023-03-29 09:40:55+00:00,LarrysSue17,"RT @sunlorrie: Finance Minister Chrystia Freedland's budget speech today doesn't mention, ""greenhouse gases"" ""emissions"" ""climate change"" o…",,133
46,2023-03-29 09:39:20+00:00,rexglacer,"RT @sunlorrie: Finance Minister Chrystia Freedland's budget speech today doesn't mention, ""greenhouse gases"" ""emissions"" ""climate change"" o…","Wasaga Beach, Ontario",133
47,2023-03-29 09:39:19+00:00,GTSkillnet,"RT @WindEnergyIRL: 🌬️💚 Last year, Irish wind energy protected consumers &amp; cut carbon emissions amidst an international energy crisis. Proud…","Naas, Kildare, Ireland",1
48,2023-03-29 09:02:56+00:00,AnneHoutman,RT @montelnews: EU energy ministers gave final approval on Tuesday for a binding target to create carbon sinks in the agricultural and fore…,"Bruxelles, Belgique",2
49,2023-03-29 08:25:38+00:00,realmarvingermo,"RT @marvingermo: 8/ Green Crypto: With the growing concern about climate change, there is a need for more eco-friendly blockchain solutions…",,2
50,2023-03-29 08:05:12+00:00,Behzad__Ferdows,"Climate change is not a distant threat, it's a present reality. It's time to take action and protect our planet before it's too late. Let's reduce our carbon footprint, embrace renewable energy, and work together to create a sustainable future for all living beings. https://t.co/6KBJQ0GXXI",United Arab Emirates,0
51,2023-03-29 07:54:39+00:00,jambro01,"RT @sunlorrie: Finance Minister Chrystia Freedland's budget speech today doesn't mention, ""greenhouse gases"" ""emissions"" ""climate change"" o…","British Columbia, Canada",133
52,2023-03-29 07:48:19+00:00,LEMVet,"RT @Fern_NGO: So we come back to the “trilogue” negotiations between the Council, the Parliament &amp; the EU  Commission. 

We need them to ag…","Wageningen, The Netherlands",3
53,2023-03-29 07:31:58+00:00,RobertS91081322,RT @RobertS91081322: @ClimateBen You are full of S**T I need 30 million USD for 7 renewable energy projects that I have only 32 grant denia…,United States,1
54,2023-03-29 07:28:00+00:00,CimrmanTaky,"RT @sunlorrie: Finance Minister Chrystia Freedland's budget speech today doesn't mention, ""greenhouse gases"" ""emissions"" ""climate change"" o…",,133
55,2023-03-29 07:26:45+00:00,RobertS91081322,@ClimateBen You are full of S**T I need 30 million USD for 7 renewable energy projects that I have only 32 grant denial letters from the DOE Department of Energy United States government along with the Climate Czars who also claim to be Philanthropists was deplatformed by Musk for 1/?,United States,1
56,2023-03-29 06:51:45+00:00,KhedaNagar,"Kheda municipality G20 marathon walk on global climate change...Take oath for climate change , renewable energy and carbon footprints... https://t.co/rE6gjZ9oxO",,0
57,2023-03-29 06:22:44+00:00,Esten51,"RT @sunlorrie: Finance Minister Chrystia Freedland's budget speech today doesn't mention, ""greenhouse gases"" ""emissions"" ""climate change"" o…",,133
58,2023-03-29 06:10:38+00:00,msgrumpybunny,"RT @tweetMalena: 12,700 deaths were prevented because of #climateaction in the US &amp; it doesn'teven include recent data!

And @POTUS passed…","Sit’n On a Dock by the Bay, CA",16
59,2023-03-29 06:03:00+00:00,WindEnergyIRL,"🌬️💚 Last year, Irish wind energy protected consumers &amp; cut carbon emissions amidst an international energy crisis. Proud of our role in fighting the climate emergency. 

Check out the 2022 Wind Report here: https://t.co/PdnQhUnB5v 

#WindEnergy #ClimateAction","Naas, Co. Kildare, Ireland",1
60,2023-03-29 05:54:56+00:00,Mary00163864,"RT @sunlorrie: Finance Minister Chrystia Freedland's budget speech today doesn't mention, ""greenhouse gases"" ""emissions"" ""climate change"" o…","Vancouver, British Columbia",133
61,2023-03-29 05:31:38+00:00,DrBianca84,"RT @sunlorrie: Finance Minister Chrystia Freedland's budget speech today doesn't mention, ""greenhouse gases"" ""emissions"" ""climate change"" o…",Canada/USA,133
62,2023-03-29 05:31:14+00:00,kemunto_marie,"RT @ASBELKEMBOI7: Replacing fossil fuel-reliant power stations with renewable energy sources, such as wind and solar,is a vital part of sta…",Kenya,12
63,2023-03-29 05:28:43+00:00,StablesValerie,"RT @sunlorrie: Finance Minister Chrystia Freedland's budget speech today doesn't mention, ""greenhouse gases"" ""emissions"" ""climate change"" o…",Canada,133
64,2023-03-29 05:01:51+00:00,Fee78149506,"RT @sunlorrie: Finance Minister Chrystia Freedland's budget speech today doesn't mention, ""greenhouse gases"" ""emissions"" ""climate change"" o…",,133
65,2023-03-29 04:58:06+00:00,Bird5Ca,"RT @sunlorrie: Finance Minister Chrystia Freedland's budget speech today doesn't mention, ""greenhouse gases"" ""emissions"" ""climate change"" o…",Land Mass that was Canada,133
66,2023-03-29 04:43:56+00:00,lummer1,"RT @sunlorrie: Finance Minister Chrystia Freedland's budget speech today doesn't mention, ""greenhouse gases"" ""emissions"" ""climate change"" o…",,133
67,2023-03-29 04:43:31+00:00,SuperTRKR2022,"RT @sunlorrie: Finance Minister Chrystia Freedland's budget speech today doesn't mention, ""greenhouse gases"" ""emissions"" ""climate change"" o…",,133
68,2023-03-29 04:22:02+00:00,environment,"Technology that sucks carbon emissions out of the air would need more energy than used to run the world’s homes if it’s to play a significant role in reaching global climate goals.
https://t.co/gOS7W4210k",,0
69,2023-03-29 04:18:50+00:00,alan_poirier,"RT @sunlorrie: Finance Minister Chrystia Freedland's budget speech today doesn't mention, ""greenhouse gases"" ""emissions"" ""climate change"" o…","Calgary, Alberta",133
70,2023-03-29 04:17:21+00:00,gandhsleeman,"RT @sunlorrie: Finance Minister Chrystia Freedland's budget speech today doesn't mention, ""greenhouse gases"" ""emissions"" ""climate change"" o…",,133
71,2023-03-29 04:01:43+00:00,prariegirl123,"RT @sunlorrie: Finance Minister Chrystia Freedland's budget speech today doesn't mention, ""greenhouse gases"" ""emissions"" ""climate change"" o…",,133
