,Time,User,Tweet,Location,Retweets
0,2023-02-17 20:37:09+00:00,tishytopper,"@Kevingrampa6 @RepThomasMassie The estimate for bison in North America was 60 million, so cows are still half of what this continent was sustaining without climate effect.  So cows are not the problem, nor a solution.  States run carbon emission yearly (PA) show that the vehicle carbon imprint is also minimal.",,0
1,2023-02-17 20:32:50+00:00,SarahRConkle,"RT @ConservationOrg: Nature is a powerful ally in adapting to the impacts of #ClimateChange, but its contributions are often underappreciat…","Ohio, USA",2
2,2023-02-17 20:27:19+00:00,kul_kan2017,@windfreighter @Amosjoannides @adambrowning @JigarShahDC @Tesla IRA act in US will bring Green Hydrogen to $1/kG...why does one argue with such a pure sustainable solution that will help us along with batteries fight climate change..Both green hydrogen + fuel cell + batteries are absolutely essential to get to 2030 and 2050 climate goals!,,0
3,2023-02-17 20:24:22+00:00,JamesWeber16,"Hopefully well, although I expect it will be lots of growing pains to get there. 
AI is being touted as something which can assist us in finding the solution for things like global hunger, climate change etc. 
Fingers crossed it can make good on those promises
#scifichat https://t.co/UfZhpgMGfF",Ellicott City,0
4,2023-02-17 20:19:45+00:00,ChristianGilch,"RT @WeDontHaveTime: 🌍🚀 Accelerating the climate transition!

@BTGroup's Green Tech Innovation Platform aims to fast-track new digital solut…",,5
5,2023-02-17 20:19:40+00:00,cmdiehl29,RT @DebnamCarey: A little birthday present from @ayanaeliza 🤗 Solution focused writings from women at the forefront of the climate movement…,Washington state ,367
6,2023-02-17 20:13:23+00:00,SeattleDSALabor,RT @MilesKLassin: There's a clear solution to the ongoing US rail crisis: public ownership. Taking the profit motive out of the movement of…,,96
7,2023-02-17 20:05:57+00:00,GERinSalone,"RT @AA_stabilisiert: #climatesecurity and peace in the #LakeChad region in focus @MunSecConf. Together with @adelphi_berlin and @UNDP, our…",,1
8,2023-02-17 20:04:18+00:00,sbirlios,"The Liberals Sustainable Jobs Act contains a lot of emphasis on greenwashing ""solutions"" like carbon capture, utilization, and storage. I wrote about why CCUS is NOT a climate solution for the Council of Canadians recently;

https://t.co/E9R3RKHY1K",LAND BACK,1
9,2023-02-17 20:03:43+00:00,AA_stabilisiert,"#climatesecurity and peace in the #LakeChad region in focus @MunSecConf. Together with @adelphi_berlin and @UNDP, our climate and stabilisation teams hosted an interactive exercise. A diverse group of participants came up with complex scenarios and solution approaches. #MSC2023 https://t.co/mvHUre7FTj","Berlin, Germany",1
10,2023-02-17 20:02:56+00:00,childofGodlu9,RT @fuel_well: Cleantech retrofit reducing #СO2emissions is your sustainability solution if substitution of existing conventional trucks wi…,"Yonkers, NY",5
11,2023-02-17 19:59:58+00:00,dsiliconman,"RT @CoastConnectSCC: Did you know that public transit is the most effective solution to reducing transportation emissions in the US? 🚍🚇 

P…","Santa Cruz, CA",1
12,2023-02-17 19:56:47+00:00,shyamvaran,"When companies set climate-focused goals, they want to understand how their suppliers’ #ESG standards align. Discover how Deloitte’s Strategic Risk Sensing solution helped a consumer products company in its sustainability efforts. https://t.co/3P3cVkJ9Ej","San Francisco, CA",0
13,2023-02-17 19:53:03+00:00,MikeKempPhD,"When companies set climate-focused goals, they want to understand how their suppliers’ #ESG standards align. Discover how Deloitte’s Strategic Risk Sensing solution helped a consumer products company in its sustainability efforts. https://t.co/xJtj7qQ4Xz","Pittsburgh, PA",0
14,2023-02-17 19:45:59+00:00,DrTWBest,"RT @WelshRarebitt: STRUGGLING: 🤣🤣
BBC asked Bill Gates directly why his climate activism should be taken seriously, as he continues to fly…",,11
15,2023-02-17 19:45:45+00:00,CovascaNews,"https://t.co/orCHc4739K

Carbon sequestration is the process by which carbon dioxide is removed from the atmosphere and stored in plants, soil, and other organic materials. This process is essential for mitigating the impacts of climate change by reducing the amount of carbon..",,0
16,2023-02-17 19:44:54+00:00,Alli_A_Johnson,RT @NRDCYvetteLena: GAO report on climate resilience in agriculture overlooks a solution that is already at our fingertips: investing in or…,"Oakland, CA",1
17,2023-02-17 19:39:20+00:00,AngelaPower7,"RT @WelshRarebitt: STRUGGLING: 🤣🤣
BBC asked Bill Gates directly why his climate activism should be taken seriously, as he continues to fly…",United Kingdom,11
18,2023-02-17 19:33:59+00:00,JoanneJolilley,RT @WeDontHaveTime: Be a part of the solution! Join our climate review platform &amp; make an impact by simply signing up - we'll plant a tree…,"London, England",130
19,2023-02-17 19:27:00+00:00,NRDCYvetteLena,GAO report on climate resilience in agriculture overlooks a solution that is already at our fingertips: investing in organic agriculture. https://t.co/mzWP2aaD7N,,1
20,2023-02-17 19:26:01+00:00,cwmagee,"RT @CZEdwards: Considering there was a climate crisis in about 535 and a pretty nasty pandemic around the same time that broke a LOT.

And…",Canberra,1
21,2023-02-17 19:25:41+00:00,DallasLewis_Aus,RT @GrogsGamut: If your market-based solution to climate change doesn’t keep coal and gas in the ground it is not a solution except for tho…,Sydney,52
22,2023-02-17 19:24:30+00:00,bb31114,"@bennyjohnson It is mind-boggling to me that conservatives, without a shred of irony, can blame the failure of their party's policy and ability to govern on a Teenaged European Climate Activist. Because she isn't the champion of YOUR problem, all you can do is meme in lieu of a solution.","Bumfuck, AK",0
23,2023-02-17 19:23:12+00:00,ecosourcecanad1,"PROFITABLE EFFICIENCY WITH GREEN ENERGY FOR THE FIGHT AGAINST CLIMATE CHANGE

ECOSOURCE CANADA: Proudly to offer you a complete product line of green energy at the edge of the technology and turnkey solution or at order according to your need and budget.…https://t.co/U86RMxdsAc","Montréal, Québec",0
24,2023-02-17 19:22:28+00:00,rachelloumiller,"RT @TomRaftery: The ocean as a nation? It's a bold idea, but could it be the solution we need for a sustainable future? Listen to the lates…","Clovis, CA",1
25,2023-02-17 19:21:19+00:00,CZEdwards,"Considering there was a climate crisis in about 535 and a pretty nasty pandemic around the same time that broke a LOT.

And we’re currently in a state where the rich think feudalism is the solution to the rich not being given enough praise and recognition for their specialness.","Bad Orb, Deutschland",1
